Geneset	Genes
Loerch et al. Downregulated Genes	SEPTIN5
Loerch et al. Downregulated Genes	PHTF2
Loerch et al. Downregulated Genes	CORO2B
Loerch et al. Downregulated Genes	GRIA1
Loerch et al. Downregulated Genes	SRGAP3
Loerch et al. Downregulated Genes	PAN2
Loerch et al. Downregulated Genes	CNPY2
Loerch et al. Downregulated Genes	PHLDA2
Loerch et al. Downregulated Genes	PMS2
Loerch et al. Downregulated Genes	PMS2CL
Loerch et al. Downregulated Genes	MKRN1
Loerch et al. Downregulated Genes	ABI2
Loerch et al. Downregulated Genes	ADRA2A
Loerch et al. Downregulated Genes	APBA2
Loerch et al. Downregulated Genes	ATR
Loerch et al. Downregulated Genes	NRXN1
Loerch et al. Downregulated Genes	BORCS8
Loerch et al. Downregulated Genes	CHTOP
Loerch et al. Downregulated Genes	ATP2C1
Loerch et al. Downregulated Genes	CAMK2B
Loerch et al. Downregulated Genes	RAD51D
Loerch et al. Downregulated Genes	AIMP2
Loerch et al. Downregulated Genes	CYP2E1
Loerch et al. Downregulated Genes	GABBR2
Loerch et al. Downregulated Genes	ABHD14A
Loerch et al. Downregulated Genes	GOSR2
Loerch et al. Downregulated Genes	EWSR1
Loerch et al. Downregulated Genes	MAP2
Loerch et al. Downregulated Genes	UBE2E4P
Loerch et al. Downregulated Genes	UBE2E3
Loerch et al. Downregulated Genes	CTSZ
Loerch et al. Downregulated Genes	IDH2
Loerch et al. Downregulated Genes	NAPG
Loerch et al. Downregulated Genes	RND1
Loerch et al. Downregulated Genes	KCNAB1
Loerch et al. Downregulated Genes	MAGOH
Loerch et al. Downregulated Genes	RPL39L
Loerch et al. Downregulated Genes	RAB6B
Loerch et al. Downregulated Genes	TM7SF2
Loerch et al. Downregulated Genes	ATP5PD
Loerch et al. Downregulated Genes	ME2
Loerch et al. Downregulated Genes	SRSF10
Loerch et al. Downregulated Genes	CABP1
Loerch et al. Downregulated Genes	CENPS-CORT
Loerch et al. Downregulated Genes	CORT
Loerch et al. Downregulated Genes	ATP8A1
Loerch et al. Downregulated Genes	HSP90AA1
Loerch et al. Downregulated Genes	EIF6
Loerch et al. Downregulated Genes	CDC42
Loerch et al. Downregulated Genes	GRM4
Loerch et al. Downregulated Genes	CDKN2D
Loerch et al. Downregulated Genes	RUFY3
Loerch et al. Downregulated Genes	MADD
Loerch et al. Downregulated Genes	KCNF1
Loerch et al. Downregulated Genes	RGS6
Loerch et al. Downregulated Genes	AP4S1
Loerch et al. Downregulated Genes	WTAP
Loerch et al. Downregulated Genes	SYN2
Loerch et al. Downregulated Genes	ACLY
Loerch et al. Downregulated Genes	SNORD14C
Loerch et al. Downregulated Genes	BCL11A
Loerch et al. Downregulated Genes	CAMK4
Loerch et al. Downregulated Genes	SCN2B
Loerch et al. Downregulated Genes	PTGES
Loerch et al. Downregulated Genes	CCKBR
Loerch et al. Downregulated Genes	MYL4
Loerch et al. Downregulated Genes	BOLA2-SMG1P6
Loerch et al. Downregulated Genes	BOLA2
Loerch et al. Downregulated Genes	CPNE6
Loerch et al. Downregulated Genes	FLRT1
Loerch et al. Downregulated Genes	P2RX5
Loerch et al. Downregulated Genes	KCNJ6
Loerch et al. Downregulated Genes	SNAPC3
Loerch et al. Downregulated Genes	PPIE
Loerch et al. Downregulated Genes	AKAP12
Loerch et al. Downregulated Genes	TUBA3C
Loerch et al. Downregulated Genes	TCAF1P1
Loerch et al. Downregulated Genes	TCAF1
Loerch et al. Downregulated Genes	B9D1
Loerch et al. Downregulated Genes	TRIM27
Loerch et al. Downregulated Genes	RASGRF1
Loerch et al. Downregulated Genes	NUDC
Loerch et al. Downregulated Genes	RASA1
Loerch et al. Downregulated Genes	PCLO
Loerch et al. Downregulated Genes	GGA2
Loerch et al. Downregulated Genes	PCDHA4
Loerch et al. Downregulated Genes	PCDHA6
Loerch et al. Downregulated Genes	PCDHA12
Loerch et al. Downregulated Genes	PCDHA11
Loerch et al. Downregulated Genes	PCDHA5
Loerch et al. Downregulated Genes	PCDHA10
Loerch et al. Downregulated Genes	PCDHA13
Loerch et al. Downregulated Genes	PCDHA1
Loerch et al. Downregulated Genes	PCDHA7
Loerch et al. Downregulated Genes	PCDHA3
Loerch et al. Downregulated Genes	PCDHA9
Loerch et al. Downregulated Genes	PCDHAC1
Loerch et al. Downregulated Genes	PCDHA2
Loerch et al. Downregulated Genes	PCDHAC2
Loerch et al. Downregulated Genes	PCDHA8
Loerch et al. Downregulated Genes	PMS2P5
Loerch et al. Downregulated Genes	PMS2P3
Loerch et al. Downregulated Genes	DTX2P1-UPK3BP1-PMS2P11
Loerch et al. Downregulated Genes	PMS2P9
Loerch et al. Downregulated Genes	PMS2P8
Loerch et al. Downregulated Genes	PMS2P6
Loerch et al. Downregulated Genes	PMS2P11
Loerch et al. Downregulated Genes	NECAB3
Loerch et al. Downregulated Genes	PAK5
Loerch et al. Downregulated Genes	CAMKK2
Loerch et al. Downregulated Genes	DDX49
Loerch et al. Downregulated Genes	XRCC4
Loerch et al. Downregulated Genes	VPS41
Loerch et al. Downregulated Genes	ZEB1
Loerch et al. Downregulated Genes	GTF2I
Loerch et al. Downregulated Genes	PDCD10
Loerch et al. Downregulated Genes	POMZP3
Loerch et al. Downregulated Genes	ZP3
Loerch et al. Downregulated Genes	FSCN1
Loerch et al. Downregulated Genes	FDFT1
Loerch et al. Downregulated Genes	RTN4
Loerch et al. Downregulated Genes	PKN2
Loerch et al. Downregulated Genes	ARNTL
Loerch et al. Downregulated Genes	PFKM
Loerch et al. Downregulated Genes	LSS
Loerch et al. Downregulated Genes	RGS14
Loerch et al. Downregulated Genes	HECTD4
Loerch et al. Downregulated Genes	MLLT11
Loerch et al. Downregulated Genes	CD47
Loerch et al. Downregulated Genes	PRPF4B
Loerch et al. Downregulated Genes	CLPTM1
Loerch et al. Downregulated Genes	DLAT
Loerch et al. Downregulated Genes	PPP2R5D
Loerch et al. Downregulated Genes	ACSL6
Loerch et al. Downregulated Genes	HSF2
Loerch et al. Downregulated Genes	DGKA
Loerch et al. Downregulated Genes	UBE3A
Loerch et al. Downregulated Genes	CDK7
Loerch et al. Downregulated Genes	CDK7P1
Loerch et al. Downregulated Genes	ALB
Loerch et al. Downregulated Genes	FLOT2
Loerch et al. Downregulated Genes	RPL13P5
Loerch et al. Downregulated Genes	DSTNP2
Loerch et al. Downregulated Genes	TUBGCP4
Loerch et al. Downregulated Genes	B3GALNT1
Loerch et al. Downregulated Genes	TACC2
Loerch et al. Downregulated Genes	SC5D
Loerch et al. Downregulated Genes	GNAQ
Loerch et al. Downregulated Genes	TYRO3
Loerch et al. Downregulated Genes	GABARAPL3
Loerch et al. Downregulated Genes	FUT6
Loerch et al. Downregulated Genes	RAB36
Loerch et al. Downregulated Genes	BAG1
Loerch et al. Downregulated Genes	STAU1
Loerch et al. Downregulated Genes	MAPK14
Loerch et al. Downregulated Genes	MRPS11
Loerch et al. Downregulated Genes	HOPX
Loerch et al. Downregulated Genes	MET
Loerch et al. Downregulated Genes	LRPPRC
Loerch et al. Downregulated Genes	VDAC2P5
Loerch et al. Downregulated Genes	VDAC2
Loerch et al. Downregulated Genes	ARPC4-TTLL3
Loerch et al. Downregulated Genes	ARPC4
Loerch et al. Downregulated Genes	NCALD
Loerch et al. Downregulated Genes	MAK16
Loerch et al. Downregulated Genes	USP32
Loerch et al. Downregulated Genes	BID
Loerch et al. Downregulated Genes	COX11
Loerch et al. Downregulated Genes	BLVRA
Loerch et al. Downregulated Genes	SLC25A17
Loerch et al. Downregulated Genes	ATP5PB
Loerch et al. Downregulated Genes	UBE2D1
Loerch et al. Downregulated Genes	SERINC3
Loerch et al. Downregulated Genes	AP2A2
Loerch et al. Downregulated Genes	ARHGEF4
Loerch et al. Downregulated Genes	PTGIS
Loerch et al. Downregulated Genes	SEZ6L
Loerch et al. Downregulated Genes	PLCB1
Loerch et al. Downregulated Genes	HNRNPA3P1
Loerch et al. Downregulated Genes	HNRNPA3P3
Loerch et al. Downregulated Genes	HNRNPA3P10
Loerch et al. Downregulated Genes	HNRNPA3P5
Loerch et al. Downregulated Genes	NOLC1
Loerch et al. Downregulated Genes	IPO5
Loerch et al. Downregulated Genes	RAB7A
Loerch et al. Downregulated Genes	RPS10-NUDT3
Loerch et al. Downregulated Genes	NUDT3
Loerch et al. Downregulated Genes	CALM1
Loerch et al. Downregulated Genes	TOP2B
Loerch et al. Downregulated Genes	STIP1
Loerch et al. Downregulated Genes	RSL1D1
Loerch et al. Downregulated Genes	EXOC7
Loerch et al. Downregulated Genes	VDAC1
Loerch et al. Downregulated Genes	TGOLN2
Loerch et al. Downregulated Genes	ATP6V0D1
Loerch et al. Downregulated Genes	YARS1
Loerch et al. Downregulated Genes	WIPF2
Loerch et al. Downregulated Genes	PDXDC1
Loerch et al. Downregulated Genes	TPGS2
Loerch et al. Downregulated Genes	U2SURP
Loerch et al. Downregulated Genes	ATP9A
Loerch et al. Downregulated Genes	USP34
Loerch et al. Downregulated Genes	CSNK2A3
Loerch et al. Downregulated Genes	SLC25A6
Loerch et al. Downregulated Genes	PEG10
Loerch et al. Downregulated Genes	KPNA6
Loerch et al. Downregulated Genes	STX12
Loerch et al. Downregulated Genes	ATXN7L3B
Loerch et al. Downregulated Genes	RANGAP1
Loerch et al. Downregulated Genes	NIPA2
Loerch et al. Downregulated Genes	MCM4
Loerch et al. Downregulated Genes	MRPS27
Loerch et al. Downregulated Genes	EFR3A
Loerch et al. Downregulated Genes	PBX1
Loerch et al. Downregulated Genes	VPS39
Loerch et al. Downregulated Genes	KIDINS220
Loerch et al. Downregulated Genes	TMEM183A
Loerch et al. Downregulated Genes	XPO7
Loerch et al. Downregulated Genes	RBM12
Loerch et al. Downregulated Genes	SERPINE2
Loerch et al. Downregulated Genes	TM9SF4
Loerch et al. Downregulated Genes	MRFAP1L1
Loerch et al. Downregulated Genes	ANKLE2
Loerch et al. Downregulated Genes	ANKRD17
Loerch et al. Downregulated Genes	OPA1
Loerch et al. Downregulated Genes	PREPL
Loerch et al. Downregulated Genes	COQ9
Loerch et al. Downregulated Genes	GCOM1
Loerch et al. Downregulated Genes	GCOM2
Loerch et al. Downregulated Genes	TUBA4A
Loerch et al. Downregulated Genes	MCFD2
Loerch et al. Downregulated Genes	MTDH
Loerch et al. Downregulated Genes	MTMR4
Loerch et al. Downregulated Genes	RTF1
Loerch et al. Downregulated Genes	SEL1L3
Loerch et al. Downregulated Genes	VPS13D
Loerch et al. Downregulated Genes	LIMCH1
Loerch et al. Downregulated Genes	KDM1A
Loerch et al. Downregulated Genes	EIF2B5
Loerch et al. Downregulated Genes	FAM168A
Loerch et al. Downregulated Genes	MYO1B
Loerch et al. Downregulated Genes	MYH10
Loerch et al. Downregulated Genes	FEM1B
Loerch et al. Downregulated Genes	TCF4
Loerch et al. Downregulated Genes	PDE4DIP
Loerch et al. Downregulated Genes	PDE4DIPP1
Loerch et al. Downregulated Genes	PDE4DIPP2
Loerch et al. Downregulated Genes	EMC1
Loerch et al. Downregulated Genes	UBE3B
Loerch et al. Downregulated Genes	EEF1AKNMT
Loerch et al. Downregulated Genes	IMP4
Loerch et al. Downregulated Genes	ECPAS
Loerch et al. Downregulated Genes	GRPEL1
Loerch et al. Downregulated Genes	TRIM33
Loerch et al. Downregulated Genes	KIAA0232
Loerch et al. Downregulated Genes	CERS6
Loerch et al. Downregulated Genes	NEDD4L
Loerch et al. Downregulated Genes	KIFBP
Loerch et al. Downregulated Genes	GPATCH8
Loerch et al. Downregulated Genes	DNAJC8
Loerch et al. Downregulated Genes	ADO
Loerch et al. Downregulated Genes	TMEM131
Loerch et al. Downregulated Genes	MOAP1
Loerch et al. Downregulated Genes	USP33
Loerch et al. Downregulated Genes	ATRN
Loerch et al. Downregulated Genes	DESI1
Loerch et al. Downregulated Genes	MEF2A
Loerch et al. Downregulated Genes	ZNHIT3
Loerch et al. Downregulated Genes	CAP2
Loerch et al. Downregulated Genes	PRKAR1B
Loerch et al. Downregulated Genes	MGRN1
Loerch et al. Downregulated Genes	AKT3
Loerch et al. Downregulated Genes	DTX4
Loerch et al. Downregulated Genes	CHN1
Loerch et al. Downregulated Genes	EXOSC7
Loerch et al. Downregulated Genes	WWP1
Loerch et al. Downregulated Genes	HACD2
Loerch et al. Downregulated Genes	HIVEP2
Loerch et al. Downregulated Genes	RFTN1
Loerch et al. Downregulated Genes	EHBP1
Loerch et al. Downregulated Genes	TSFM
Loerch et al. Downregulated Genes	SMURF1
Loerch et al. Downregulated Genes	METAP1
Loerch et al. Downregulated Genes	NF1
Loerch et al. Downregulated Genes	SLC25A44
Loerch et al. Downregulated Genes	PPM1H
Loerch et al. Downregulated Genes	DDHD2
Loerch et al. Downregulated Genes	BICD2
Loerch et al. Downregulated Genes	TLN2
Loerch et al. Downregulated Genes	MSL1
Loerch et al. Downregulated Genes	CAMSAP1
Loerch et al. Downregulated Genes	EIF3K
Loerch et al. Downregulated Genes	ANKRD46
Loerch et al. Downregulated Genes	RCHY1
Loerch et al. Downregulated Genes	CEP170
Loerch et al. Downregulated Genes	PPP1R16B
Loerch et al. Downregulated Genes	TOMM20P4
Loerch et al. Downregulated Genes	SOS1
Loerch et al. Downregulated Genes	C1orf216
Loerch et al. Downregulated Genes	ANKMY2
Loerch et al. Downregulated Genes	STX6
Loerch et al. Downregulated Genes	PRUNE2
Loerch et al. Downregulated Genes	ASB1
Loerch et al. Downregulated Genes	DMXL2
Loerch et al. Downregulated Genes	SLC25A46
Loerch et al. Downregulated Genes	DCUN1D4
Loerch et al. Downregulated Genes	GRAMD4
Loerch et al. Downregulated Genes	SUB1
Loerch et al. Downregulated Genes	CDS2
Loerch et al. Downregulated Genes	R3HCC1
Loerch et al. Downregulated Genes	WDR7
Loerch et al. Downregulated Genes	ABR
Loerch et al. Downregulated Genes	TTI1
Loerch et al. Downregulated Genes	LRRC47
Loerch et al. Downregulated Genes	GRAMD1B
Loerch et al. Downregulated Genes	RAB3GAP1
Loerch et al. Downregulated Genes	UBXN2B
Loerch et al. Downregulated Genes	TBC1D9
Loerch et al. Downregulated Genes	GNPTAB
Loerch et al. Downregulated Genes	EOLA2
Loerch et al. Downregulated Genes	EOLA1
Loerch et al. Downregulated Genes	CARS1
Loerch et al. Downregulated Genes	LRRC8B
Loerch et al. Downregulated Genes	MAPK8IP1
Loerch et al. Downregulated Genes	RANBP6
Loerch et al. Downregulated Genes	GOSR1
Loerch et al. Downregulated Genes	RNF19B
Loerch et al. Downregulated Genes	NPTXR
Loerch et al. Downregulated Genes	MAST3
Loerch et al. Downregulated Genes	LPCAT4
Loerch et al. Downregulated Genes	TSR3
Loerch et al. Downregulated Genes	SLC36A1
Loerch et al. Downregulated Genes	TSPYL5
Loerch et al. Downregulated Genes	MED8
Loerch et al. Downregulated Genes	GCSHP5
Loerch et al. Downregulated Genes	GCSH
Loerch et al. Downregulated Genes	MCAT
Loerch et al. Downregulated Genes	SS18L1
Loerch et al. Downregulated Genes	SLC5A3
Loerch et al. Downregulated Genes	TTC9
Loerch et al. Downregulated Genes	SNRPB
Loerch et al. Downregulated Genes	LYRM9
Loerch et al. Downregulated Genes	ASTN1
Loerch et al. Downregulated Genes	C2CD3
Loerch et al. Downregulated Genes	ADCY2
Loerch et al. Downregulated Genes	PLXNC1
Loerch et al. Downregulated Genes	CEP170B
Loerch et al. Downregulated Genes	ADCY1
Loerch et al. Downregulated Genes	TRANK1
Loerch et al. Downregulated Genes	CTSB
Loerch et al. Downregulated Genes	RAP1GAP2
Loerch et al. Downregulated Genes	APOOL
Loerch et al. Downregulated Genes	TOGARAM1
Loerch et al. Downregulated Genes	SHANK2
Loerch et al. Downregulated Genes	PLCL2
Loerch et al. Downregulated Genes	TCF25
Loerch et al. Downregulated Genes	SMIM8
Loerch et al. Downregulated Genes	NECTIN3
Loerch et al. Downregulated Genes	USP12
Loerch et al. Downregulated Genes	TMEM158
Loerch et al. Downregulated Genes	TMCC1
Loerch et al. Downregulated Genes	ABCA5
Loerch et al. Downregulated Genes	GTF2H5
Loerch et al. Downregulated Genes	RAB22A
Loerch et al. Downregulated Genes	PI4KAP1
Loerch et al. Downregulated Genes	RPP40
Loerch et al. Downregulated Genes	SATB2
Loerch et al. Downregulated Genes	CNR1
Loerch et al. Downregulated Genes	ZNF184
Loerch et al. Downregulated Genes	SOSTDC1
Loerch et al. Downregulated Genes	NPTX2
Loerch et al. Downregulated Genes	DOCK3
Loerch et al. Downregulated Genes	MAP2K2
Loerch et al. Downregulated Genes	PLPPR4
Loerch et al. Downregulated Genes	CAND2
Loerch et al. Downregulated Genes	GLCE
Loerch et al. Downregulated Genes	LDHB
Loerch et al. Downregulated Genes	KPNB1
Loerch et al. Downregulated Genes	PDCD2
Loerch et al. Downregulated Genes	ATP6V0E2
Loerch et al. Downregulated Genes	KIF3A
Loerch et al. Downregulated Genes	PHF24
Loerch et al. Downregulated Genes	TAF5L
Loerch et al. Downregulated Genes	ZNF75D
Loerch et al. Downregulated Genes	MARS1
Loerch et al. Downregulated Genes	TMEM151B
Loerch et al. Downregulated Genes	BHLHB9
Loerch et al. Downregulated Genes	XYLT1
Loerch et al. Downregulated Genes	RFC5
Loerch et al. Downregulated Genes	ATP5F1A
Loerch et al. Downregulated Genes	ATRNL1
Loerch et al. Downregulated Genes	RBMXP2
Loerch et al. Downregulated Genes	RBMX
Loerch et al. Downregulated Genes	RBMXP5
Loerch et al. Downregulated Genes	GNA11
Loerch et al. Downregulated Genes	PENK
Loerch et al. Downregulated Genes	HOMER1
Loerch et al. Downregulated Genes	PTPRA
Loerch et al. Downregulated Genes	ARHGAP33
Loerch et al. Downregulated Genes	PPP2R2B
Loerch et al. Downregulated Genes	C6orf62
Loerch et al. Downregulated Genes	POLR2E
Loerch et al. Downregulated Genes	PMS2P7
Loerch et al. Downregulated Genes	PMS2P2
Loerch et al. Downregulated Genes	PMS2P10
Loerch et al. Downregulated Genes	PMS2P1
Loerch et al. Downregulated Genes	THSD7A
Loerch et al. Downregulated Genes	RBFOX2
Loerch et al. Downregulated Genes	CUX2
Loerch et al. Downregulated Genes	SST
Loerch et al. Downregulated Genes	STUM
Loerch et al. Downregulated Genes	MAP3K9
Loerch et al. Downregulated Genes	ZNF23
Loerch et al. Downregulated Genes	ERC2
Loerch et al. Downregulated Genes	CADM3
Loerch et al. Downregulated Genes	RPGRIP1L
Loerch et al. Downregulated Genes	PDS5A
Loerch et al. Downregulated Genes	VGLL4
Loerch et al. Downregulated Genes	RYR2
Loerch et al. Downregulated Genes	LIAS
Loerch et al. Downregulated Genes	LSP1P5
Loerch et al. Downregulated Genes	LSP1P4
Loerch et al. Downregulated Genes	RBM8A
Loerch et al. Downregulated Genes	RFPL1S
Loerch et al. Downregulated Genes	DAGLA
Loerch et al. Downregulated Genes	SRSF7
Loerch et al. Downregulated Genes	GNAS
Loerch et al. Downregulated Genes	PACRG
Loerch et al. Downregulated Genes	PIN4
Loerch et al. Downregulated Genes	VWA8
Loerch et al. Downregulated Genes	CLN5
Loerch et al. Downregulated Genes	DTNB
Loerch et al. Downregulated Genes	SEPTIN11
Loerch et al. Downregulated Genes	TNFSF10
Loerch et al. Downregulated Genes	COPA
Loerch et al. Downregulated Genes	TPM3
Loerch et al. Downregulated Genes	MAPK10
Loerch et al. Downregulated Genes	RFPL3S
Loerch et al. Downregulated Genes	MTMR6
Loerch et al. Downregulated Genes	HSPA12A
Loerch et al. Downregulated Genes	RALA
Loerch et al. Downregulated Genes	FBXL2
Loerch et al. Downregulated Genes	BCAT1
Loerch et al. Downregulated Genes	RAP2B
Loerch et al. Downregulated Genes	RAP2A
Loerch et al. Downregulated Genes	BCLAF1P2
Loerch et al. Downregulated Genes	MACROH2A1
Loerch et al. Downregulated Genes	PQBP1
Loerch et al. Downregulated Genes	ARPP19
Loerch et al. Downregulated Genes	TNFRSF21
Loerch et al. Downregulated Genes	KCNG1
Loerch et al. Downregulated Genes	DRD1
Loerch et al. Downregulated Genes	IREB2
Loerch et al. Downregulated Genes	ZNF266
Loerch et al. Downregulated Genes	MIR22HG
Loerch et al. Downregulated Genes	RIF1
Loerch et al. Downregulated Genes	CCNB1
Loerch et al. Downregulated Genes	GATC
Loerch et al. Downregulated Genes	DIXDC1
Loerch et al. Downregulated Genes	ZNF131
Loerch et al. Downregulated Genes	ATP6V1G2
Loerch et al. Downregulated Genes	ACOT11
Loerch et al. Downregulated Genes	MPRIP
Loerch et al. Downregulated Genes	KIAA1549L
Loerch et al. Downregulated Genes	TOX3
Loerch et al. Downregulated Genes	N4BP3
Loerch et al. Downregulated Genes	MEGF8
Loerch et al. Downregulated Genes	SGSM3
Loerch et al. Downregulated Genes	SHANK1
Loerch et al. Downregulated Genes	DENND4A
Loerch et al. Downregulated Genes	DDN
Loerch et al. Downregulated Genes	SRSF8
Loerch et al. Downregulated Genes	PA2G4
Loerch et al. Downregulated Genes	RIMBP2
Loerch et al. Downregulated Genes	BRINP2
Loerch et al. Downregulated Genes	ZNF204P
Loerch et al. Downregulated Genes	DOK5
Loerch et al. Downregulated Genes	RALGAPA1
Loerch et al. Downregulated Genes	RALGAPA1P1
Loerch et al. Downregulated Genes	PKP4
Loerch et al. Downregulated Genes	TUBGCP5
Loerch et al. Downregulated Genes	FAM149A
Loerch et al. Downregulated Genes	ADAMTS3
Loerch et al. Downregulated Genes	SLITRK5
Loerch et al. Downregulated Genes	RBM34
Loerch et al. Downregulated Genes	ARID4B
Loerch et al. Downregulated Genes	POMK
Loerch et al. Downregulated Genes	SPATA2L
Loerch et al. Downregulated Genes	MTMR1
Loerch et al. Downregulated Genes	SCAI
Loerch et al. Downregulated Genes	AAK1
Loerch et al. Downregulated Genes	DGCR5
Loerch et al. Downregulated Genes	NECAB2
Loerch et al. Downregulated Genes	BRSK2
Loerch et al. Downregulated Genes	KCND3
Loerch et al. Downregulated Genes	ZNF33B
Loerch et al. Downregulated Genes	CELF3
Loerch et al. Downregulated Genes	DENND5B
Loerch et al. Downregulated Genes	GRB2
Loerch et al. Downregulated Genes	MINAR1
Loerch et al. Downregulated Genes	LRRC42
Loerch et al. Downregulated Genes	GTF3A
Loerch et al. Downregulated Genes	CNTNAP2
Loerch et al. Downregulated Genes	DEDD
Loerch et al. Downregulated Genes	FRG1CP
Loerch et al. Downregulated Genes	CAMK1G
Loerch et al. Downregulated Genes	PTPN20
Loerch et al. Downregulated Genes	CDH22
Loerch et al. Downregulated Genes	NUS1P1
Loerch et al. Downregulated Genes	NUS1
Loerch et al. Downregulated Genes	ZNF273
Loerch et al. Downregulated Genes	ANO3
Loerch et al. Downregulated Genes	RCAN1
Loerch et al. Downregulated Genes	SLC8A2
Loerch et al. Downregulated Genes	TRAF3IP3
Loerch et al. Downregulated Genes	ZNF529
Loerch et al. Downregulated Genes	CBARP
Loerch et al. Downregulated Genes	GGCT
Loerch et al. Downregulated Genes	PRSS3P2
Loerch et al. Downregulated Genes	STOML2
Loerch et al. Downregulated Genes	BEX4
Loerch et al. Downregulated Genes	SUMO4
Loerch et al. Downregulated Genes	LARGE1
Loerch et al. Downregulated Genes	ZNF780A
Loerch et al. Downregulated Genes	ZNF780B
Loerch et al. Downregulated Genes	EPHA5
Loerch et al. Downregulated Genes	PRNP
Loerch et al. Downregulated Genes	TUBGCP3
Loerch et al. Downregulated Genes	SCARB2
Loerch et al. Downregulated Genes	ZNF804A
Loerch et al. Downregulated Genes	CYFIP2
Loerch et al. Downregulated Genes	SNRNP40
Loerch et al. Downregulated Genes	ARFGEF2
Loerch et al. Downregulated Genes	PART1
Loerch et al. Downregulated Genes	UBXN8
Loerch et al. Downregulated Genes	ANKRD34C
Loerch et al. Downregulated Genes	PSMA7
Loerch et al. Downregulated Genes	BTRC
Loerch et al. Downregulated Genes	SPEF1
Loerch et al. Downregulated Genes	RIMS1
Loerch et al. Downregulated Genes	ADORA1
Loerch et al. Downregulated Genes	SLC2A14
Loerch et al. Downregulated Genes	IL1RN
Loerch et al. Downregulated Genes	KIAA1109
Loerch et al. Downregulated Genes	CLTA
Loerch et al. Downregulated Genes	DGKB
Loerch et al. Downregulated Genes	TUBA3D
Loerch et al. Downregulated Genes	TUBA3E
Loerch et al. Downregulated Genes	YIPF3
Loerch et al. Downregulated Genes	NPM1P22
Loerch et al. Downregulated Genes	EI24
Loerch et al. Downregulated Genes	BOP1
Loerch et al. Downregulated Genes	TUBB4BP7
Loerch et al. Downregulated Genes	MYDGF
Loerch et al. Downregulated Genes	RNU6-73P
Loerch et al. Downregulated Genes	RPS10P5
Loerch et al. Downregulated Genes	SUMO1P2
Loerch et al. Downregulated Genes	NHP2P2
Loerch et al. Downregulated Genes	PIGC
Loerch et al. Downregulated Genes	PIGCP1
Loerch et al. Downregulated Genes	FARSA
Loerch et al. Downregulated Genes	CYP51A1P2
Loerch et al. Downregulated Genes	SOD2
Loerch et al. Downregulated Genes	KIF22
Loerch et al. Downregulated Genes	GRM8
Loerch et al. Downregulated Genes	MFN1
Loerch et al. Downregulated Genes	UBBP2
Loerch et al. Downregulated Genes	VDAC1P3
Loerch et al. Downregulated Genes	VDAC1P6
Loerch et al. Downregulated Genes	VDAC1P1
Loerch et al. Downregulated Genes	UBBP1
Loerch et al. Downregulated Genes	ERG28
Loerch et al. Downregulated Genes	COX6CP1
Loerch et al. Downregulated Genes	CAMSAP2
Loerch et al. Downregulated Genes	BTNL3
Loerch et al. Downregulated Genes	ACTBP9
Loerch et al. Downregulated Genes	BCRP2
Loerch et al. Downregulated Genes	BCRP7
Loerch et al. Downregulated Genes	BCRP3
Loerch et al. Downregulated Genes	BCRP6
Loerch et al. Downregulated Genes	SFXN3
Loerch et al. Downregulated Genes	COX7A2P2
Loerch et al. Downregulated Genes	NDRG3
Loerch et al. Downregulated Genes	ENO1
Loerch et al. Downregulated Genes	LINC01399
Loerch et al. Downregulated Genes	UBE2NL
Loerch et al. Downregulated Genes	B3GALT2
Loerch et al. Downregulated Genes	MBTPS1
Loerch et al. Downregulated Genes	ZNF731P
Loerch et al. Downregulated Genes	BRINP3
Loerch et al. Downregulated Genes	CDH8
Loerch et al. Downregulated Genes	SREK1IP1
Loerch et al. Downregulated Genes	HUS1
Loerch et al. Downregulated Genes	KCNB1
Loerch et al. Downregulated Genes	CHCHD2
Loerch et al. Downregulated Genes	CHCHD2P2
Loerch et al. Downregulated Genes	CHCHD2P6
Loerch et al. Downregulated Genes	SEPTIN7
Loerch et al. Downregulated Genes	NGRN
Loerch et al. Downregulated Genes	SERBP1
Loerch et al. Downregulated Genes	VPS35
Loerch et al. Downregulated Genes	ZFAND5
Loerch et al. Downregulated Genes	TMEM30A
Loerch et al. Downregulated Genes	NAA50
Loerch et al. Downregulated Genes	UBE2Z
Loerch et al. Downregulated Genes	JPT1
Loerch et al. Downregulated Genes	TRIM44
Loerch et al. Downregulated Genes	POMP
Loerch et al. Downregulated Genes	NDUFA4
Loerch et al. Downregulated Genes	RDH11
Loerch et al. Downregulated Genes	HACD3
Loerch et al. Downregulated Genes	GPS1
Loerch et al. Downregulated Genes	YKT6
Loerch et al. Downregulated Genes	UFC1
Loerch et al. Downregulated Genes	UBE2H
Loerch et al. Downregulated Genes	NDFIP1
Loerch et al. Downregulated Genes	SELENOT
Loerch et al. Downregulated Genes	YTHDF2
Loerch et al. Downregulated Genes	YTHDF2P1
Loerch et al. Downregulated Genes	SPIN1
Loerch et al. Downregulated Genes	SUPT16H
Loerch et al. Downregulated Genes	SUPT16HP1
Loerch et al. Downregulated Genes	WBP11
Loerch et al. Downregulated Genes	UBE2J1
Loerch et al. Downregulated Genes	NSFL1C
Loerch et al. Downregulated Genes	TGIF2-RAB5IF
Loerch et al. Downregulated Genes	RAB5IF
Loerch et al. Downregulated Genes	CHMP3
Loerch et al. Downregulated Genes	DDX41
