Geneset	Genes
Mavrikaki et al. Upregulated Genes	C1S
Mavrikaki et al. Upregulated Genes	LIMK2
Mavrikaki et al. Upregulated Genes	IQGAP3
Mavrikaki et al. Upregulated Genes	KNTC1
Mavrikaki et al. Upregulated Genes	SEPTIN9
Mavrikaki et al. Upregulated Genes	SYN3
Mavrikaki et al. Upregulated Genes	PLSCR1
Mavrikaki et al. Upregulated Genes	SERPINA3
Mavrikaki et al. Upregulated Genes	ZNF765
Mavrikaki et al. Upregulated Genes	SERPINA1
Mavrikaki et al. Upregulated Genes	SZT2
Mavrikaki et al. Upregulated Genes	ANKRD35
Mavrikaki et al. Upregulated Genes	FCGR3A
Mavrikaki et al. Upregulated Genes	CPT1B
Mavrikaki et al. Upregulated Genes	C10orf105
Mavrikaki et al. Upregulated Genes	GOLGA8B
Mavrikaki et al. Upregulated Genes	ZNF192P2
Mavrikaki et al. Upregulated Genes	FANCG
Mavrikaki et al. Upregulated Genes	CCNL2
Mavrikaki et al. Upregulated Genes	C4B
Mavrikaki et al. Upregulated Genes	FAM229A
Mavrikaki et al. Upregulated Genes	KIF4B
Mavrikaki et al. Upregulated Genes	C4B_2
Mavrikaki et al. Upregulated Genes	PIRT
Mavrikaki et al. Upregulated Genes	ZNF101P2
Mavrikaki et al. Upregulated Genes	MOG
Mavrikaki et al. Upregulated Genes	PPP1R3E
Mavrikaki et al. Upregulated Genes	VWFP1
Mavrikaki et al. Upregulated Genes	STRC
Mavrikaki et al. Upregulated Genes	C4A
Mavrikaki et al. Upregulated Genes	KRT8P4
Mavrikaki et al. Upregulated Genes	PTTG2
Mavrikaki et al. Upregulated Genes	TPM3P6
Mavrikaki et al. Upregulated Genes	CHKB-CPT1B
Mavrikaki et al. Upregulated Genes	ALOX12P2
Mavrikaki et al. Upregulated Genes	FEM1AP2
Mavrikaki et al. Upregulated Genes	NBPF8
Mavrikaki et al. Upregulated Genes	NBPF26
Mavrikaki et al. Upregulated Genes	ZNF707
Mavrikaki et al. Upregulated Genes	MMP11
Mavrikaki et al. Upregulated Genes	HYDIN2
Mavrikaki et al. Upregulated Genes	FBXO17
Mavrikaki et al. Upregulated Genes	ADAMTS2
Mavrikaki et al. Downregulated Genes	CACNG3
Mavrikaki et al. Downregulated Genes	TAC1
Mavrikaki et al. Downregulated Genes	CX3CL1
Mavrikaki et al. Downregulated Genes	CACNA1G
Mavrikaki et al. Downregulated Genes	RALA
Mavrikaki et al. Downregulated Genes	GGCT
Mavrikaki et al. Downregulated Genes	MYLIP
Mavrikaki et al. Downregulated Genes	CDKL5
Mavrikaki et al. Downregulated Genes	TENM1
Mavrikaki et al. Downregulated Genes	HIVEP2
Mavrikaki et al. Downregulated Genes	SPAST
Mavrikaki et al. Downregulated Genes	EPHA3
Mavrikaki et al. Downregulated Genes	NFE2L3
Mavrikaki et al. Downregulated Genes	CA11
Mavrikaki et al. Downregulated Genes	ARHGAP10
Mavrikaki et al. Downregulated Genes	TRIB2
Mavrikaki et al. Downregulated Genes	PPP2R5C
Mavrikaki et al. Downregulated Genes	RIMS1
Mavrikaki et al. Downregulated Genes	CHRNA3
Mavrikaki et al. Downregulated Genes	DLG3
Mavrikaki et al. Downregulated Genes	KCNK2
Mavrikaki et al. Downregulated Genes	EPS15
Mavrikaki et al. Downregulated Genes	RPH3A
Mavrikaki et al. Downregulated Genes	BAMBI
Mavrikaki et al. Downregulated Genes	PAK5
Mavrikaki et al. Downregulated Genes	MMD
Mavrikaki et al. Downregulated Genes	NMU
Mavrikaki et al. Downregulated Genes	EXPH5
Mavrikaki et al. Downregulated Genes	UST
Mavrikaki et al. Downregulated Genes	FHL5
